title,gross
1. April 2000,N/A
1/2 Mensch,NA
10,N/A
10 Magnificent Killers,N/A
10 Rillington Place,N/A
10 Seconds,N/A
10 Things I Hate About You,N/A
10 Violent Women,NA
10 from Your Show of Shows,NA
10 jaar leuven kort,N/A
10 on Ten,N/A
10 pesos,N/A
10 to Midnight,N/A
10.000 dollari per un massacro,NA
10.7,N/A
100 Days,N/A
100 Days,N/A
100 Girls,N/A
100 Mile Rule,N/A
100 Pro,N/A
100 Proof,N/A
100 Rifles,N/A
100 Years at the Movies,N/A
100 minuta slave,NA
1000 Boomerangs,N/A
1000 Convicts and a Woman,N/A
1000 Rosen,N/A
1000 Shapes of a Female,N/A
"10000th Day, The",N/A
1001 Arabian Nights,N/A
1001 Erotic Nights 2,NA
1001 Nights,NA
"1001 nuits, Les",NA
101,N/A
101 Dalmatians,N/A
101 Rent Boys,N/A
101 Ways (The Things a Girl Will Do to Keep Her Volvo),N/A
101-vy kilometer,NA
101byeonjae propose,N/A
102 Dalmatians,"65,406,212"
10:10,N/A
10:30 P.M. Summer,N/A
10e chambre - Instants d'audience,NA
11 Harrowhouse,N/A
11 Uhr 59,NA
"11 commandements, Les",NA
11'09''01 - September 11,NA
11:11,N/A
11:14,N/A
12 + 1,N/A
12 Angry Men,N/A
12 B,N/A
12 Bucks,N/A
12 Hot Women,N/A
12 Stops on the Road to Nowhere,N/A
12 horas,N/A
12 mesyatsev,N/A
12 stulev,N/A
12 to the Moon,N/A
"120 Tage von Bottrop, Die",NA
125 rue Montmartre,N/A
12:01 PM,N/A
12:35,N/A
13 Dead Men,N/A
13 Fighting Men,N/A
13 Frightened Girls,N/A
13 Ghosts,N/A
13 Going On 30,"54,600,000"
13 Lakes,N/A
13 Moons,N/A
13 Rue Madeleine,N/A
13 West Street,N/A
13 kaidan,NA
13. jul,N/A
13ta godenitsa na printsa,N/A
"13th Floor, The",N/A
"13th House, The",N/A
"13th Letter, The",N/A
"13th Man, The",N/A
"13th Sign, The",N/A
"13th Warrior, The",N/A
14 Carrot Rabbit,N/A
14 Million Dreams,N/A
14 numara,NA
"14, The",N/A
14/1 endlos,N/A
1492: Conquest of Paradise,N/A
"14e kippetje, Het",NA
15,N/A
15 Amore,N/A
15 Minutes,"24,160,216"
15 Minutes,"24,160,216"
15' zondergrond,N/A
15-Sai: Gakko IV,NA
15.35: spoor 1,N/A
16 Days of Glory,N/A
16 December,N/A
16 Fathoms Deep,N/A
16/67: 20. September,N/A
16060,N/A
17 Seconds to Sophie,N/A
17 and Under,N/A
17 op,N/A
17 rue Bleue,N/A
1776,N/A
1789,N/A
"17th Man, The",N/A
18 Again!,N/A
18 Shades of Dust,N/A
18 Weapons of Kung Fu,N/A
18 anni tra una settimana,N/A
18-j,N/A
1860,N/A
1871,N/A
187: Documented,N/A
1895,N/A
19,N/A
19 Months,N/A
19 djevojaka i Mornar,NA
1900,N/A
1918,N/A
1919,N/A
1919,N/A
1925 Studio Tour,N/A
1939,N/A
1941,N/A
1941,N/A
1942: A Love Story,N/A
1952: Ivan i Aleksandra,NA
1955 Motion Picture Theatre Celebration,N/A
1958,N/A
1969,N/A
1974,N/A
"1974, une partie de campagne",N/A
1984,N/A
1990: I guerrieri del Bronx,NA
1991: The Year Punk Broke,N/A
1997 - Zapisi Rustema s risunkami,NA
1999,N/A
1999 - Nen no natsu yasumi,N/A
1999 Madeleine,N/A
2 A.M. in the Subway,N/A
2 Birds with 1 Stallone,N/A
2 Days in the Valley,N/A
2 Dyuo,NA
2 Fast 2 Furious,"127,083,765"
2 G's & a Key,N/A
"2 Little, 2 Late",N/A
2 bileta na dnevnoy seans,NA
"2 deputati, I",NA
2 minutter,NA
2 or 3 Things But Nothing for Sure,N/A
2 ou 3 choses que je sais d'elle,N/A
2 ryk og 1 aflevering,N/A
2 secondes,NA
2+1,N/A
2+5: Missione Hydra,NA
"2,000 Women",NA
2. juledag,NA
20 Dates,N/A
20 Fingers,N/A
20 Million Miles to Earth,N/A
20 Mule Team,N/A
"20,000 Cheers for the Chain Gang",N/A
"20,000 Leagues Under the Sea",N/A
"20,000 Years in Sing Sing",N/A
20-seiki nosutarujia,N/A
"20. Juli, Der",N/A
20/20 Vision,N/A
200 American,N/A
200 Cigarettes,N/A
200 Motels,N/A
2000 Nordestes,N/A
2000 Years Later,N/A
20000 Leagues Under the Sea,N/A
2001 Yonggary,NA
2001: A Space Odyssey,"135,620"
2001: A Space Travesty,N/A
2002: The Rape of Eden,N/A
2009: Lost Memories,N/A
"201 Kanarinia, Ta",NA
2010,N/A
2010: The Odyssey Continues,N/A
2019 - Dopo la caduta di New York,NA
203 kochi,N/A
2046,"1,237,566"
2069 A.D.,N/A
2084,N/A
20:30:40,NA
20h17 rue Darling,NA
21,"81,159,365"
21 Grams,"16,162,920"
21-87,N/A
2103: The Deadly Wake,N/A
21st Century Jet: The Building of the 777,N/A
22 June 1897,N/A
23,N/A
23 -- Skidoo,N/A
23 Paces to Baker Street,N/A
237,N/A
23:58,N/A
23rd March 1931: Shaheed,N/A
24,NA
24 7: Twenty Four Seven,NA
24 Hour Party People,N/A
"24 Hour Woman, The",N/A
24 Hours,N/A
24 Hours in London,N/A
24 Nights,N/A
24 chasa,N/A
24 heures de la vie d'une femme,NA
24 heures ou plus...,N/A
24 horas de placer,NA
24-Seven,N/A
24/24,N/A
24fps,N/A
"24th Day, The",N/A
25 Kids and a Dad,N/A
25 Watts,N/A
25 Ways to Quit Smoking,N/A
25th Hour,N/A
26 Summer Street,N/A
27 Down,N/A
27 Missing Kisses,N/A
27 horas,N/A
27A,N/A
"27th Day, The",N/A
28 Days,N/A
28 Days Later...,"44,900,469"
28 minuti per 3 milioni di dollari,NA
"28 oktovriou, ora 5:30",NA
29 Palms,N/A
29th Street,N/A
2BPerfectlyHonest,N/A
2LDK,N/A
2by4,N/A
"2wks, 1yr",N/A
3,"408,992,272"
3 A.M.,N/A
3 A.M.,N/A
3 AM,N/A
3 Bad Men,N/A
3 Chinesen mit dem Kontrabass,NA
3 Days of Rain,NA
3 Dumb Clucks,N/A
3 Feet Under: Digging Deep for the Geoduck,N/A
3 Godfathers,N/A
3 Little Ninjas and the Lost Treasure,NA
3 Men and a Little Lady,N/A
3 Minute Wonder,NA
3 Misses,N/A
3 Ninjas,N/A
3 Ninjas Kick Back,N/A
3 Ninjas Knuckle Up,N/A
3 Ninjas: High Noon at Mega Mountain,N/A
3 Nuts in Search of a Bolt,N/A
3 Ring Circus,N/A
3 Ring Wing-Ding,N/A
3 Strikes,N/A
3 Tage 44,N/A
3 Weeks After Paradise,N/A
3 Women,N/A
"3 Worlds of Gulliver, The",N/A
3 dev adam,NA
3 hommes et un couffin,NA
3 noches,N/A
3-4x juugatsu,NA
3-Way,N/A
30 Days,NA
"30 Foot Bride of Candy Rock, The",N/A
30 Frames a Second: The WTO in Seattle,N/A
"30 Is a Dangerous Age, Cynthia",N/A
30 Winchester per El Diablo,NA
30 Years of Fun,N/A
30 Years to Life,N/A
30 ans,N/A
30 panen a Pythagoras,NA
"30, Still Single: Contemplating Suicide",N/A
"300 Spartans, The",N/A
3000 Miles to Graceland,"15,346,114"
"301, 302",N/A
30:e november,N/A
31,"779,820"
"317e section, La",NA
322,N/A
34-y skoryy,NA
35 Aside,N/A
35 Miles from Normal,N/A
36 Chowringhee Lane,N/A
"36 Deadly Styles, The",N/A
36 Hours,N/A
36 Hours,N/A
36 fillette,N/A
36 ore all'inferno,N/A
365 Nights in Hollywood,N/A
36K,N/A
37 og et halvt,NA
39 Pounds of Love,N/A
"39 Steps, The",N/A
"39 Steps, The",N/A
3:10 to Yuma,"53,574,088"
3:15,N/A
3:am,N/A
3D,"24,900,000"
3azima,N/A
"3groschenoper, Die",NA
"3rd Voice, The",N/A
4,N/A
4 Artists Paint 1 Tree: A Walt Disney 'Adventure in Art',N/A
4 Clowns,N/A
4 Devils,N/A
4 Freunde und 4 Pfoten,N/A
4 Inyong shiktak,NA
4 Little Girls,N/A
4 P.M.,N/A
4 Second Delay,N/A
4 a.m.: Open All Night,N/A
4 aventures de Reinette et Mirabelle,NA
4 for Texas,N/A
4 maneras de tapar un hoyo,N/A
4 marmittoni alle grandi manovre,NA
4 mosche di velluto grigio,NA
"4 saisons d'Espigoule, Les",NA
4 x 4,N/A
40,N/A
40 Carats,N/A
40 Days and 40 Nights,N/A
40 Days of Musa Dagh,NA
40 Guns to Apache Pass,N/A
40 Pounds of Trouble,N/A
40 Quadratmeter Deutschland,N/A
40 gradi all'ombra del lenzuolo,NA
40 grados a la sombra,N/A
"40,000 Horsemen",N/A
"400 Million, The",N/A
405,N/A
420,N/A
42K,N/A
42nd Street,N/A
"42nd. Street Special, The",N/A
43: The Richard Petty Story,N/A
47 morto che parla,N/A
48 Hrs.,N/A
48 Stunden bis Acapulco,N/A
491,N/A
"49th Man, The",N/A
49th Parallel,N/A
4D Man,N/A
"4th Floor, The",N/A
"4th Tenor, The",N/A
5 Against the House,N/A
5 Branded Women,N/A
5 Card Stud,N/A
5 Card Stud,N/A
5 Dark Souls,N/A
5 Dead on the Crimson Canvas,N/A
5 Fingers,N/A
5 Millionen suchen einen Erben,NA
5 Steps to Danger,N/A
5 bambole per la luna d'agosto,NA
5 de chocolate y 1 de fresa,N/A
5 donne per l'assassino,NA
"5 i fedtefadet, De",NA
"5 og spionerne, De",NA
5 tombe per un medium,NA
"5,000 Fingers of Dr. T., The",N/A
50 First Dates,"120,776,832"
50 Ways to Leave Your Lover,N/A
"50,000 B.C. (Before Clothing)",N/A
50/50,"35,005,118"
500 Years Later,N/A
500!,N/A
50CC,N/A
51 Bar,NA
"51st State, The",N/A
52 Pick-Up,N/A
52nd Street,N/A
54,N/A
55 Days at Peking,N/A
588 rue paradis,NA
5th Ave Girl,N/A
5th World,N/A
5x2,"15,667"
6 Day Bike Rider,N/A
6 Miles of 8 Feet,N/A
6 Points,N/A
6 dni strusia,N/A
6.5 Special,NA
6000 Enemies,N/A
633 Squadron,N/A
"64,000,000 Years Ago",N/A
"65, 66 och jag",NA
66 scener fra Amerika,NA
666 mo gui fu huo,NA
681-0638,N/A
69,N/A
69 - Sixtynine,NA
69 Park Avenue,N/A
6ix,N/A
"6th Day, The","33,813,823"
7 Days In September,N/A
7 Faces of Dr. Lao,N/A
7 Lucky Ninja Kids,N/A
7 Star Grand Mantis,N/A
7 Wise Dwarfs,N/A
7 Women,N/A
7 Year Zig Zag,N/A
7 Zwerge,NA
7 ans de mariage,N/A
7 fois... par jour,N/A
7 jin gong,N/A
7 pra-jan-barn,NA
"7, Hyden Park: la casa maledetta",NA
71 Fragmente einer Chronologie des Zufalls,NA
711 Ocean Drive,N/A
72 Desperate Rebels,N/A
72 Faced Liar,N/A
72 metra,NA
7337,N/A
76-89-03,N/A
78 Tours,N/A
79 primaveras,N/A
7th Cavalry,N/A
"7th Dawn, The",N/A
7th Street,N/A
"7th Voyage of Sinbad, The",N/A
8 Ball Bunny,N/A
8 Heads in a Duffel Bag,N/A
8 Mile,"116,638,030"
8 Million Ways to Die,NA
8 Seconds,N/A
8 femmes,NA
8 to 4,N/A
8-A,N/A
80 Steps to Jonah,N/A
80's Ending,N/A
"80,000 Suspects",N/A
800 Fantasy Lane,N/A
800 Two Lap Runners,N/A
800 balas,NA
84 Charing Cross Road,N/A
84C MoPic,N/A
88 Antop Hill,N/A
89 mm od Europy,N/A
8MM,N/A
8cht,N/A
9 Mornings,N/A
9 Songs,N/A
9 Souls,N/A
9 dney odnogo goda,NA
9/30/55,NA
9/64: O Tannenbaum,N/A
90,N/A
90 Day Wondering,N/A
90 Days,N/A
90 Miles,N/A
900 Women,N/A
901: After 45 Years of Working,N/A
91:an Karlsson muckar (tror han),N/A
91:an Karlssons bravader,N/A
91:an och generalernas fnatt,N/A
92 hak mooi gwai dui hak mooi gwai,NA
92 in the Shade,N/A
9413,N/A
964 Pinocchio,NA
97 ga yau choi si,NA
976-EVIL,N/A
976-EVIL 2: The Astral Factor,NA
976-WISH,N/A
99 Euro Films,NA
99 River Street,N/A
99 Threadwaxing,N/A
99 mujeres,NA
99.9,N/A
999 Aliza Mizrahi,NA
999-9999,N/A
9:30,N/A
9mm of Love,N/A
A,N/A
A,N/A
A & P,N/A
A + (Amas),N/A
"A 008, operazione Sterminio",NA
A 11-a porunca,NA
A Banna,N/A
A Fei jing juen,NA
A Hunting We Will Go,N/A
A Is for Atom,N/A
A byl li Karotin,N/A
A cavallo della tigre,NA
A cavallo della tigre,NA
A ciascuno il suo,N/A
A ciegas,N/A
A doppia faccia,NA
A esli eto lyubov?,N/A
A futura memoria: Pier Paolo Pasolini,N/A
A galope tendido,NA
A la medianoche y media,NA
A los cirujanos se les va la mano,N/A
A los que aman,N/A
A mezzanotte va la ronda del piacere,NA
A mi madre le gustan las mujeres,NA
A ruota libera,NA
A sega nakade?,N/A
A spasso nel tempo,N/A
A spasso nel tempo: l'avventura continua,N/A
A tiro limpio,N/A
A tiro limpio,N/A
A tu per tu,N/A
A un dios desconocido,NA
A zori zdes tikhie,N/A
A+ Pollux,N/A
"A, B, C... Manhattan",N/A
A-Ducking They Did Go,N/A
A-Haunting We Will Go,N/A
A-Haunting We Will Go,N/A
A-Lad-In Bagdad,N/A
A-Lad-in His Lamp,N/A
"A-Tom-inable Snowman, The",N/A
A-ge-man,NA
"A.B. normal college (Todo na 'yan, kulang pa 'yun)",NA
A.D.3 operazione squalo bianco,NA
A.D.A.M.,"2,121,118"
A.K.,N/A
A.K.A. Birdseye,NA
A.K.A. Don Bonus,N/A
A.N.I. 1240,N/A
A.P.E.X.,N/A
A.S.S.,N/A
A.W.O.L.,N/A
A.k.a. Cassius Clay,N/A
A/R andata+ritorno,NA
A2,N/A
ABBA: The Movie,N/A
ABC Africa,N/A
"ABC of Love and Sex: Australia Style, The",N/A
"ABC's of Happiness, The",N/A
"ABC's of Sex Education for Trainable Persons, The",N/A
ABCD,N/A
AC/DC: Let There Be Rock,N/A
AFI's 100 Years... 100 Movies: The Antiheroes,N/A
AKA,N/A
AVP: Alien Vs. Predator,NA
Aa Ab Laut Chalen,N/A
Aa Gale Lag Jaa,N/A
Aa Okkati Adakku,N/A
"Aab, baad, khaak",N/A
Aadmi,N/A
Aag,N/A
Aah,N/A
Aakhree Raasta,N/A
Aakrosh,N/A
Aaltra,N/A
Aamdani Atthanni Kharcha Rupaiya,N/A
Aan,N/A
Aan: Men at Work,N/A
Aandhi,N/A
Aankhen,N/A
Aankhen,N/A
"Aanslag, De",NA
"Aanspreker, De",NA
Aap Ki Kasam,N/A
Aapathbandavudu,N/A
Aapo,N/A
Aar Paar,N/A
"Aardwolf, De",NA
Aaron Cohen's Debt,N/A
Aaron Loves Angela,N/A
Aaron Slick from Punkin Crick,N/A
Aashiq,N/A
Aashiqui,N/A
Aashirwad,N/A
Aatish,N/A
Aau chin,NA
Aau chin 2,NA
Aau dut,NA
Aau fung yee,NA
Ab ins Paradies,NA
Ab morgen sind wir reich und ehrlich,NA
Ab nach Tibet!,N/A
Abade qingren,NA
"Abajo firmantes, Los",NA
Abandon,"10,684,049"
"Abandonadas, Las",NA
Abandoned,N/A
Abar Aranye,NA
Abashiri Bangaichi,N/A
Abba Ganuv,N/A
Abba Ganuv II,N/A
Abba Ganuv III,N/A
Abbasso la ricchezza!,NA
Abbiamo solo fatto l'amore,N/A
Abbott and Costello Go to Mars,N/A
Abbott and Costello Meet Captain Kidd,N/A
Abbott and Costello Meet Dr. Jekyll and Mr. Hyde,N/A
Abbott and Costello Meet the Invisible Man,N/A
Abbott and Costello Meet the Keystone Kops,N/A
"Abbott and Costello Meet the Killer, Boris Karloff",N/A
Abbott and Costello Meet the Mummy,N/A
Abbott and Costello in Hollywood,NA
Abbott and Costello in the Foreign Legion,N/A
Abbronzatissimi,N/A
Abbronzatissimi 2 - un anno dopo,N/A
Abbuzze! Der Badesalz Film,N/A
Abby,N/A
Abby Singer,N/A
"Abdication, The",N/A
Abducted,N/A
Abducted,N/A
Abducted II: The Reunion,N/A
Abduction,"27,600,000"
"Abduction Club, The",N/A
Abduction of Figaro,N/A
"Abductors, The",N/A
"Abductors, The",N/A
Abdulla the Great,NA
"Abdulladzhan, ili posvyashchaetsya Stivenu Spilbergu",N/A
Abe Lincoln in Illinois,N/A
Abe Lincoln: Freedom Fighter,N/A
Abe's Manhood,N/A
Abel,N/A
Abel Ferrara: Not Guilty,N/A
Abel Raises Cain,N/A
Abendland,N/A
"Abenteuer des Grafen Bobby, Die",N/A
"Abenteuer des Prinzen Achmed, Die",NA
"Abenteuer des Werner Holt, Die",N/A
Abenteuer eines Sommers,N/A
Abeoji,N/A
Aberdeen,N/A
Aberration,N/A
"Abfahrer, Die",N/A
Abgefahren,N/A
Abgeschminkt!,N/A
Abhijaan,N/A
Abie's Irish Rose,N/A
Abilene,N/A
Abilene Town,N/A
"Abismos da Meia-Noite, Os",NA
Abissinia,N/A
Abjad,NA
Ablaze,N/A
Able Edwards,N/A
"Able's House Is Green, The",N/A
Abnormal Man,NA
"Abominable Dr. Phibes, The",N/A
"Abominable Snow Rabbit, The",N/A
"Abominable Snowman, The",N/A
"Abominable homme des douanes, L'",NA
"Abomination, The",N/A
Abot kamay ang pangarap,NA
Abouna,N/A
About Adam,N/A
About Face,N/A
About Last Night...,N/A
About Mrs. Leslie,N/A
About Schmidt,"65,000,000"
About a Boy,"40,566,655"
About a Girl,N/A
Above Freezing,N/A
Above Suspicion,NA
Above Suspicion,NA
Above Suspicion,NA
Above Us the Waves,N/A
Above and Beyond,N/A
Above and Beyond,N/A
Above the Dust Level,N/A
Above the Law,N/A
Above the Rim,N/A
Abracadabra,N/A
"Abrafaxe - Unter schwarzer Flagge, Die",N/A
Abraham Lincoln,N/A
Abrahams Gold,N/A
"Abraxas, Guardian of the Universe",N/A
"Abrazo partido, El",NA
Abre los ojos,N/A
Abroad with Two Yanks,N/A
Abschied,N/A
Abschied vom falschen Paradies,N/A
Abschied von den Wolken,NA
Abschied von gestern - (Anita G.),NA
Abschiedswalzer,NA
"Absence of Light, The",N/A
Absence of Malice,N/A
"Absence, L'",N/A
"Absent Minded Professor, The",N/A
Absent Without Leave,N/A
"Absent-Minded Waiter, The",N/A
Absolon,N/A
Absolument fabuleux,NA
Absolut,N/A
Absolut Warhola,N/A
Absolutamente Certo,N/A
Absolute Beginners,N/A
Absolute Force,N/A
Absolute Giganten,NA
Absolute Power,N/A
Absolute Quiet,N/A
Absolutely Positive,N/A
Absolution,N/A
Absolution,N/A
"Absolution of Anthony, The",N/A
Abu el Banat,N/A
Abuelitos,N/A
"Abuelo Cheno y otras historias, El",NA
Abuelo Made in Spain,NA
"Abuelo tiene un plan, El",NA
"Abuelo, El",NA
Abus de confiance,N/A
Abuse,N/A
Abusement Park,N/A
Abuzer Kadayif,N/A
"Abwab al Moghlaka, Al",NA
Abwege,NA
Abxang,N/A
"Abyss, The",N/A
Academy Boyz,N/A
"Acadie, l'Acadie, L'",NA
Acapulco Gold,N/A
"Acapulco, prima spiaggia... a sinistra",N/A
Accadde al commissariato,N/A
Accadde al penitenziario,N/A
Accattone,N/A
Accelerator,N/A
Accent on Youth,N/A
Acceptable Levels,N/A
Access Code,N/A
Access Denied,N/A
Accident,"17,161"
Accident,"17,161"
"Accidental Tourist, The",NA
Accidents,N/A
Accidents,N/A
Accidents Will Happen,N/A
"Accompagnatrice, L'",NA
According to Spencer,N/A
Accordion Tribe,N/A
Account Rendered,N/A
"Accountant, The","86,198,014"
"Accountant, The","86,198,014"
"Accountant, The","86,198,014"
"Accueil de jour, L'",NA
"Accueil familial, vieillir comme chez soi, L'",NA
Accused of Murder,N/A
"Accused, The",N/A
"Accused, The",N/A
Ace Drummond,N/A
Ace Eli and Rodger of the Skies,N/A
Ace Up My Sleeve,NA
Ace Ventura: Pet Detective,N/A
Ace Ventura: When Nature Calls,N/A
Ace in the Hole,N/A
Ace of Aces,N/A
"Ace of Hearts, The",N/A
Aces High,N/A
Aces Wild,N/A
Aces and Eights,N/A
Aces: Iron Eagle III,N/A
Ach Egon!,N/A
"Ach Shel Driks, Ha-",NA
Ach du lieber Harry,N/A
Ach jodel mir noch einen,NA
"Ache in Every Stake, An",NA
Achilles,N/A
Achilles' Love,N/A
"Achte Tag, Der",N/A
Achterland,N/A
Achtung! Banditi!,NA
"Achtung, fertig, Charlie!",NA
"Acid Eaters, The",N/A
"Acid House, The",N/A
Acne,N/A
Acordar,NA
Acosada,N/A
Acqua e sapone,N/A
"Acqua... il fuoco, L'",NA
Acquaria,N/A
Acquasanta Joe,N/A
Acri,N/A
"Acrobate, L'",N/A
"Acrobate, Le",NA
Acrobatty Bunny,N/A
Acropol,NA
Across 110th Street,N/A
Across This Land with Stompin' Tom Connors,N/A
Across the Atlantic,N/A
Across the Badlands,N/A
Across the Bridge,N/A
Across the Great Divide,N/A
Across the Line,N/A
Across the Moon,N/A
Across the Pacific,N/A
Across the Rio Grande,N/A
Across the Sea of Time,N/A
Across the Sierras,N/A
Across the Tracks,N/A
Across the Wide Missouri,N/A
Across to Singapore,N/A
Act One,N/A
Act Your Age,N/A
"Act of Murder, An",NA
Act of Piracy,N/A
"Act of Seeing with One's Own Eyes, The",N/A
Act of Violence,N/A
Act of War,N/A
Act of the Heart,N/A
"Act, The","139,605,150"
"Act, The","139,605,150"
Acta General de Chile,N/A
Actas de Marusia,NA
"Acteur, L'",N/A
"Acteurs anonymes, Les",NA
"Acteurs, Les",NA
Action,NA
Action Jackson,N/A
Action League Now!!: Rock-A-Big-Baby,N/A
Action Nitsch-Journiac,N/A
Action On the Beach,N/A
Action U.S.A.,N/A
Action de corps exclu,N/A
Action for Slander,N/A
Action in Arabia,N/A
Action in the North Atlantic,N/A
Action of the Tiger,N/A
Action: The October Crisis of 1970,N/A
Active Stealth,N/A
Acto de Primavera,NA
Actor's and Sin,N/A
Actors Anonymous: The Truth Behind the Dream,N/A
"Actors, The",N/A
"Actress, The",N/A
Actrius,NA
Acts of Betrayal,N/A
Acts of Worship,N/A
Ad Fundum,N/A
"Ad and the Ego, The",N/A
Ad ogni costo,N/A
Ad ovest di Paperino,N/A
Ada,N/A
Ada apa dengan cinta?,N/A
Adada,N/A
Adagio,N/A
Adam,"2,121,118"
Adam,"2,121,118"
Adam & Eva,"2,121,118"
Adam & Eva,"2,121,118"
Adam & Evil,"2,121,118"
Adam & Paul,"2,121,118"
Adam Had Four Sons,N/A
Adam and Evelyne,NA
Adam and Evil,N/A
Adam at 6 A.M.,NA
Adam barfi,NA
Adam og Eva,N/A
Adam's Rib,N/A
Adam's Woman,N/A
Adamah,NA
"Adamo ed Eva, la prima storia d'amore",NA
Adamski,N/A
Adamsson i Sverige,N/A
Adaptation.,"22,184,735"
Adaptatziya,N/A
Addams Family Values,N/A
"Addams Family, The",N/A
Addicted to Love,N/A
Addicted to Love,N/A
Addicted to Murder: Tainted Blood,N/A
Addiction,N/A
"Addiction, The",N/A
"Adding Machine, The",N/A
Addio Kira!,N/A
Addio ultimo uomo,NA
Addio zio Tom,NA
"Addio, fratello crudele",N/A
"Addition, L'",N/A
Address Unknown,N/A
Address Unknown,N/A
Adebar,N/A
Adela,N/A
Adela,N/A
Adelbert,N/A
Adelfos Anna,NA
Adelheid,N/A
Ademloos,N/A
Adeus Princesa,N/A
"Adeus, Pai",NA
Adi Shankaracharya,N/A
Adi Vasfiye,N/A
Adieu,N/A
Adieu Babylone,N/A
Adieu Bonaparte,N/A
Adieu Philippine,N/A
Adieu blaireau,NA
Adieu je t'aime,N/A
Adieu l'ami,NA
Adieu pays,NA
"Adieu, Galaxy Express 999",N/A
"Adieu, plancher des vaches!",NA
"Adieu, poulet",NA
"Adio, Rio",N/A
"Adjuster, The",N/A
"Admirable Crichton, The",N/A
Admiral Cigarette,N/A
Admiral Dewey Leading Land Parade,N/A
Admiral Ushakov,N/A
"Admiral Was a Lady, The",N/A
Admission Free,N/A
Admit One,N/A
"Adolescente, L'",N/A
"Adolescente, sucre d'amour",N/A
"Adolescentes, Las",NA
Adolf Armstarke,N/A
Adolf Hitler - My Part in His Downfall,N/A
Adolf Hitler - Wahlpropagandafilm,N/A
Adolf i toppform,N/A
Adolf und Marlene,NA
Adolphe,N/A
Adorable,N/A
Adorable menteuse,N/A
Adorables mentiras,N/A
Adoration,"93,518"
Adorenarin doraibu,N/A
Adosados,N/A
Adrenalin: Fear the Rush,N/A
Adrenaline,N/A
Adrenaline Rush: The Science of Risk,N/A
Adrian,N/A
Adrian und der Wolf,N/A
Adua e le compagne,NA
"Adult Version of Jekyll & Hide, The",N/A
"Adulterer, The",N/A
"Adulteress, The",N/A
Adulterio all'italiana,NA
